cap_date,species,sex,length,cap_site,capture_method,transmitter,animal_id,tag_type
11/5/2013,Lake Trout,M,580,Grand Isle,Trap Net,A69-1601-26784,26784,V13-1x-069k-1
11/5/2013,Lake Trout,F,683,Grand Isle,Trap Net,A69-1601-26788,26788,V13-1x-069k-1
11/5/2013,Lake Trout,F,662,Grand Isle,Trap Net,A69-1601-26789,26789,V13-1x-069k-1
11/5/2013,Lake Trout,F,674,Grand Isle,Trap Net,A69-1601-26790,26790,V13-1x-069k-1
11/5/2013,Lake Trout,M,667,Grand Isle,Trap Net,A69-1601-26791,26791,V13-1x-069k-1
11/5/2013,Lake Trout,F,707,Grand Isle,Trap Net,A69-1601-26792,26792,V13-1x-069k-1
11/5/2013,Lake Trout,F,735,Grand Isle,Trap Net,A69-1601-26793,26793,V13-1x-069k-1
11/5/2013,Lake Trout,M,658,Grand Isle,Trap Net,A69-1601-26794,26794,V13-1x-069k-1
11/5/2013,Lake Trout,F,650,Grand Isle,Trap Net,A69-1601-26795,26795,V13-1x-069k-1
11/5/2013,Lake Trout,M,634,Grand Isle,Trap Net,A69-1601-26796,26796,V13-1x-069k-1
11/5/2013,Lake Trout,F,695,Grand Isle,Trap Net,A69-1601-26797,26797,V13-1x-069k-1
11/5/2013,Lake Trout,M,630,Grand Isle,Trap Net,A69-1601-26800,26800,V13-1x-069k-1
11/5/2013,Lake Trout,M,680,Grand Isle,Trap Net,A69-1601-26801,26801,V13-1x-069k-1
11/5/2013,Lake Trout,F,673,Grand Isle,Trap Net,A69-1601-26802,26802,V13-1x-069k-1
11/5/2013,Lake Trout,M,674,Grand Isle,Trap Net,A69-1601-26803,26803,V13-1x-069k-1
11/5/2013,Lake Trout,F,760,Grand Isle,Trap Net,A69-1601-26804,26804,V13-1x-069k-1
11/5/2013,Lake Trout,M,634,Grand Isle,Trap Net,A69-1601-26805,26805,V13-1x-069k-1
11/5/2013,Lake Trout,F,735,Grand Isle,Trap Net,A69-1601-26806,26806,V13-1x-069k-1
11/5/2013,Lake Trout,M,635,Grand Isle,Trap Net,A69-1601-26807,26807,V13-1x-069k-1
11/5/2013,Lake Trout,M,630,Grand Isle,Trap Net,A69-1601-26808,26808,V13-1x-069k-1
11/6/2013,Lake Trout,M,712,Grand Isle,Trap Net,A69-1601-26770,26770,V13-1x-069k-1
11/6/2013,Lake Trout,F,685,Grand Isle,Trap Net,A69-1601-26771,26771,V13-1x-069k-1
11/6/2013,Lake Trout,F,670,Grand Isle,Trap Net,A69-1601-26773,26773,V13-1x-069k-1
11/6/2013,Lake Trout,M,680,Grand Isle,Trap Net,A69-1601-26774,26774,V13-1x-069k-1
11/6/2013,Lake Trout,M,627,Grand Isle,Trap Net,A69-1601-26778,26778,V13-1x-069k-1
11/6/2013,Lake Trout,F,645,Grand Isle,Trap Net,A69-1601-26785,26785,V13-1x-069k-1
11/6/2013,Lake Trout,F,680,Grand Isle,Trap Net,A69-1601-26786,26786,V13-1x-069k-1
11/6/2013,Lake Trout,M,635,Grand Isle,Trap Net,A69-1601-26787,26787,V13-1x-069k-1
11/6/2013,Lake Trout,M,633,Grand Isle,Trap Net,A69-1601-26799,26799,V13-1x-069k-1
11/7/2013,Lake Trout,F,662,Grand Isle,Trap Net,A69-1601-26776,26776,V13-1x-069k-1
11/4/2014,Lake Trout,M,565,Grand Isle,Trap Net,A69-1601-24320,24320,V13-1x-069k-1
11/4/2014,Lake Trout,M,574,Grand Isle,Trap Net,A69-1601-24321,24321,V13-1x-069k-1
11/4/2014,Lake Trout,M,712,Grand Isle,Trap Net,A69-1601-24322,24322,V13-1x-069k-1
11/4/2014,Lake Trout,M,713,Grand Isle,Trap Net,A69-1601-24323,24323,V13-1x-069k-1
11/4/2014,Lake Trout,M,820,Grand Isle,Trap Net,A69-1601-24324,24324,V13-1x-069k-1
11/4/2014,Lake Trout,M,775,Grand Isle,Trap Net,A69-1601-24325,24325,V13-1x-069k-1
11/4/2014,Lake Trout,F,638,Grand Isle,Trap Net,A69-1601-24326,24326,V13-1x-069k-1
11/4/2014,Lake Trout,M,545,Grand Isle,Trap Net,A69-1601-24327,24327,V13-1x-069k-1
11/4/2014,Lake Trout,M,560,Grand Isle,Trap Net,A69-1601-24328,24328,V13-1x-069k-1
11/4/2014,Lake Trout,F,650,Grand Isle,Trap Net,A69-1601-24329,24329,V13-1x-069k-1
11/4/2014,Lake Trout,M,630,Grand Isle,Trap Net,A69-1601-24330,24330,V13-1x-069k-1
11/4/2014,Lake Trout,F,669,Grand Isle,Trap Net,A69-1601-24331,24331,V13-1x-069k-1
11/4/2014,Lake Trout,F,677,Grand Isle,Trap Net,A69-1601-24332,24332,V13-1x-069k-1
11/4/2014,Lake Trout,M,651,Grand Isle,Trap Net,A69-1601-24333,24333,V13-1x-069k-1
11/4/2014,Lake Trout,M,558,Grand Isle,Trap Net,A69-1601-24334,24334,V13-1x-069k-1
11/5/2014,Lake Trout,M,632,Grand Isle,Trap Net,A69-1601-24335,24335,V13-1x-069k-1
11/5/2014,Lake Trout,M,672,Grand Isle,Trap Net,A69-1601-24336,24336,V13-1x-069k-1
11/5/2014,Lake Trout,M,680,Grand Isle,Trap Net,A69-1601-24337,24337,V13-1x-069k-1
11/5/2014,Lake Trout,F,679,Grand Isle,Trap Net,A69-1601-24338,24338,V13-1x-069k-1
11/5/2014,Lake Trout,F,705,Grand Isle,Trap Net,A69-1601-24340,24340,V13-1x-069k-1
11/5/2014,Lake Trout,F,709,Grand Isle,Trap Net,A69-1601-24341,24341,V13-1x-069k-1
